unit_no,signal_code,frozen_times,realtime_value,calendar_timestamp,filename,pentahocounter,batch_value
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 07:37:27', '2024-06-10 07:37:27', '2024-06-10 07:37:27', '2024-06-10 07:37:27', '2024-06-10 07:37:27', '2024-06-10 07:37:28', '2024-06-10 07:37:28', '2024-06-10 07:37:28', '2024-06-10 07:37:28', '2024-06-10 07:37:28', '2024-06-10 07:37:29', '2024-06-10 07:37:29', '2024-06-10 07:37:29', '2024-06-10 07:37:29', '2024-06-10 07:37:29', '2024-06-10 07:37:30', '2024-06-10 07:37:30', '2024-06-10 07:37:30', '2024-06-10 07:37:30', '2024-06-10 07:37:30', '2024-06-10 07:37:31', '2024-06-10 07:37:31', '2024-06-10 07:37:31', '2024-06-10 07:37:31']",0,2024-06-10 07:37:31.000,SD2406100627290-395001-SD1,3022.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 07:38:07', '2024-06-10 07:38:07', '2024-06-10 07:38:07', '2024-06-10 07:38:07', '2024-06-10 07:38:07', '2024-06-10 07:38:08', '2024-06-10 07:38:08', '2024-06-10 07:38:08', '2024-06-10 07:38:08', '2024-06-10 07:38:08', '2024-06-10 07:38:09', '2024-06-10 07:38:09', '2024-06-10 07:38:09', '2024-06-10 07:38:09', '2024-06-10 07:38:09', '2024-06-10 07:38:10', '2024-06-10 07:38:10', '2024-06-10 07:38:10', '2024-06-10 07:38:10', '2024-06-10 07:38:10', '2024-06-10 07:38:11', '2024-06-10 07:38:11', '2024-06-10 07:38:11', '2024-06-10 07:38:11']",0,2024-06-10 07:38:10.200,SD2406100627290-395001-SD1,3219.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],6,2024-06-10 07:38:26.400,SD2406100627290-395001-SD1,3300.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],6,2024-06-10 07:38:28.800,SD2406100627290-395001-SD1,3312.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],1,2024-06-10 07:40:18.000,SD2406100627290-395001-SD1,3860.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],1,2024-06-10 07:40:57.200,SD2406100627290-395001-SD1,4057.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 07:43:21', '2024-06-10 07:43:21', '2024-06-10 07:43:22', '2024-06-10 07:43:22', '2024-06-10 07:43:22', '2024-06-10 07:43:22', '2024-06-10 07:43:22', '2024-06-10 07:43:23', '2024-06-10 07:43:23', '2024-06-10 07:43:23', '2024-06-10 07:43:23', '2024-06-10 07:43:23', '2024-06-10 07:43:24', '2024-06-10 07:43:24', '2024-06-10 07:43:24', '2024-06-10 07:43:24', '2024-06-10 07:43:24', '2024-06-10 07:43:25', '2024-06-10 07:43:25', '2024-06-10 07:43:25', '2024-06-10 07:43:25', '2024-06-10 07:43:25', '2024-06-10 07:43:26', '2024-06-10 07:43:26', '2024-06-10 07:43:26']",0,2024-06-10 07:43:21.800,,,
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 07:48:56', '2024-06-10 07:48:56', '2024-06-10 07:48:57', '2024-06-10 07:48:57', '2024-06-10 07:48:57', '2024-06-10 07:48:57', '2024-06-10 07:48:57', '2024-06-10 07:48:58', '2024-06-10 07:48:58', '2024-06-10 07:48:58', '2024-06-10 07:48:58', '2024-06-10 07:48:58', '2024-06-10 07:48:59', '2024-06-10 07:48:59', '2024-06-10 07:48:59', '2024-06-10 07:48:59', '2024-06-10 07:48:59', '2024-06-10 07:49:00', '2024-06-10 07:49:00', '2024-06-10 07:49:00', '2024-06-10 07:49:00', '2024-06-10 07:49:00', '2024-06-10 07:49:01', '2024-06-10 07:49:01']",0,2024-06-10 07:48:57.600,SD2406100627290-395001-SD1,6470.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 07:49:36', '2024-06-10 07:49:36', '2024-06-10 07:49:37', '2024-06-10 07:49:37', '2024-06-10 07:49:37', '2024-06-10 07:49:37', '2024-06-10 07:49:37', '2024-06-10 07:49:38', '2024-06-10 07:49:38', '2024-06-10 07:49:38', '2024-06-10 07:49:38', '2024-06-10 07:49:38', '2024-06-10 07:49:39', '2024-06-10 07:49:39', '2024-06-10 07:49:39', '2024-06-10 07:49:39', '2024-06-10 07:49:40', '2024-06-10 07:49:40', '2024-06-10 07:49:40', '2024-06-10 07:49:40', '2024-06-10 07:49:40', '2024-06-10 07:49:41', '2024-06-10 07:49:41', '2024-06-10 07:49:41']",0,2024-06-10 07:49:37.200,SD2406100627290-395001-SD1,6669.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,[''],1,2024-06-10 07:51:44.800,SD2406100627290-395001-SD1,7309.0,0.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 07:57:16', '2024-06-10 07:57:17', '2024-06-10 07:57:17', '2024-06-10 07:57:17', '2024-06-10 07:57:17', '2024-06-10 07:57:17', '2024-06-10 07:57:18', '2024-06-10 07:57:18', '2024-06-10 07:57:18', '2024-06-10 07:57:18', '2024-06-10 07:57:18', '2024-06-10 07:57:19', '2024-06-10 07:57:19', '2024-06-10 07:57:19', '2024-06-10 07:57:19', '2024-06-10 07:57:19', '2024-06-10 07:57:20', '2024-06-10 07:57:20', '2024-06-10 07:57:20']",0,2024-06-10 07:57:16.800,,,
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 07:57:26', '2024-06-10 07:57:26', '2024-06-10 07:57:27', '2024-06-10 07:57:27', '2024-06-10 07:57:27', '2024-06-10 07:57:27', '2024-06-10 07:57:27', '2024-06-10 07:57:28', '2024-06-10 07:57:28', '2024-06-10 07:57:28', '2024-06-10 07:57:28', '2024-06-10 07:57:28', '2024-06-10 07:57:29', '2024-06-10 07:57:29', '2024-06-10 07:57:29', '2024-06-10 07:57:29', '2024-06-10 07:57:29', '2024-06-10 07:57:30', '2024-06-10 07:57:30', '2024-06-10 07:57:30', '2024-06-10 07:57:30', '2024-06-10 07:57:30', '2024-06-10 07:57:31', '2024-06-10 07:57:31']",0,2024-06-10 07:57:26.800,,,
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 07:59:51', '2024-06-10 07:59:52', '2024-06-10 07:59:52', '2024-06-10 07:59:52', '2024-06-10 07:59:52', '2024-06-10 07:59:52', '2024-06-10 07:59:53', '2024-06-10 07:59:53', '2024-06-10 07:59:53', '2024-06-10 07:59:53', '2024-06-10 07:59:53', '2024-06-10 07:59:54', '2024-06-10 07:59:54', '2024-06-10 07:59:54', '2024-06-10 07:59:54', '2024-06-10 07:59:54', '2024-06-10 07:59:55', '2024-06-10 07:59:55', '2024-06-10 07:59:55', '2024-06-10 07:59:55', '2024-06-10 07:59:55', '2024-06-10 07:59:56', '2024-06-10 07:59:56', '2024-06-10 07:59:56']",0,2024-06-10 07:59:56.200,SD2406100627290-395001-SD1,9777.0,1.0
395001,sd1_v0_eventrecord_carnumber_tmscarnumber,"['2024-06-10 07:59:56', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:57', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:58', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 07:59:59', '2024-06-10 08:00:00', '2024-06-10 08:00:00', '2024-06-10 08:00:00', '2024-06-10 08:00:00', '2024-06-10 08:00:00']",0,2024-06-10 07:59:56.600,SD2406100627290-395001-SD1,9779.0,1.0
